Ideal map
x lm coordinate, y lm coordinate, color
1.89821,0.9,3
1.5,-2.15,3
3.6,0.75,1
3.6,-2.38,2
5.06138,-2.49,2
5.62829,0.55,1
6.91371,-2.67,2
7.68707,0.40,1
9.04232,-2.84,2
9.15499,0.27,1
10.5526,-2.97,2
10.8823,0.13,1
11.9937,-3.1,2
12.7,-0.05,1
13.7479,-3.26,2
14.2196,-0.2,1
15.8395,-3.42,2
16.1979,-0.37,1
17.9303,-3.63,2
18.4826,-0.58,1
20.4937,-3.87403,2
20.4057,-0.72,1
22.1833,-4.02,2
22.3002,-0.91,1
24.9772,-4.26,2
23.7879,-4.15,2
24.0896,-1.05,1
25.4371,-1.17,1
26.7396,-1.26783,1
26.8062,-4.41,2
24.2, 0.6, 3
28.2726,-1.4413,3
27.94,-4.525,3


